Age (years),Sample Size (n),Weight Range,Mean,SD,Median,Min,Max,m,s,y,t,3rd,5th,10th,25th,50th,75th,90th,95th,97th
1,80,"(6e11.4)",4.9,0.73,5.1,3.4,6.5,4.9,0.1,1.2,3.3,3.7,3.8,4,4.4,4.9,5.5,5.9,6.1,6.2
2,196,"(6.8e13.7)",5.2,0.7,5.2,3.4,6.7,5.2,0.1,1.4,2.8,3.8,3.9,4.2,4.7,5.2,5.7,6.1,6.3,6.4
3,166,"(8e19.8)",5.4,0.81,5.5,3.4,7.2,5.5,0.1,1.2,2.2,4,4.2,4.5,4.9,5.5,6,6.5,6.7,6.9
4,131,"(10e27.4)",5.9,0.79,5.9,4,8.4,5.8,0.1,0.9,1.9,4.4,4.5,4.8,5.3,5.8,6.4,6.9,7.2,7.4
5,104,"(11.8e22.1)",6,0.77,6,3.9,8.1,6.1,0.1,0.9,2,4.6,4.8,5,5.5,6.1,6.6,7.1,7.4,7.6
6,97,"(10.2e26.2)",6.3,0.89,6.3,3.9,8.6,6.3,0.1,0.9,2.2,4.7,4.9,5.2,5.7,6.3,6.9,7.4,7.7,7.9
7,82,"(13.8e34.2)",6.4,0.89,6.5,4.4,8.3,6.4,0.1,1,2.2,4.7,4.9,5.2,5.7,6.4,6.9,7.5,7.8,8
8,83,"(15.5e42)",6.2,0.98,6.3,4.4,8.9,6.4,0.1,1.1,1.9,4.7,4.9,5.2,5.8,6.4,6.9,7.6,7.8,8.1
9,54,"(16e38.5)",6.6,0.85,6.6,4.6,8.8,6.6,0.1,1.1,1.8,4.8,5.1,5.4,5.9,6.6,7.2,7.7,8,8.3
10,75,"(17.8e50)",6.9,0.92,7,4.9,9.1,6.9,0.1,1.1,2.1,5,5.3,5.6,6.2,6.9,7.5,8.1,8.4,8.6
11,60,"(19.7e53.8)",7.1,1.15,7.2,4.6,10.1,7.3,0.2,0.1,2.2,5.1,5.3,5.8,6.5,7.3,8.1,8.8,9.2,9.4
12,64,"(21e51)",7.8,1.57,7.7,4.7,11,7.8,0.2,0.9,2.6,5.2,5.5,5.9,6.8,7.8,8.9,9.8,10.3,10.6
13,70,"(21.4e62.1)",8.8,1.93,8.7,5,12.7,8.5,0.2,0.5,4,5.5,5.7,6.1,7.1,8.5,10.1,11.2,11.8,12.2